,data0
0,"Feb. 1, 2019 94006.81"
1,"Jan. 31, 2019 94109.53"
2,"Jan. 30, 2019 93262.85"
3,"Jan. 29, 2019 92979.85"
4,"Jan. 28, 2019 92636.23"
5,"Jan. 25, 2019 92164.48"
6,"Jan. 24, 2019 91360.92"
7,"Jan. 23, 2019 91307.30"
8,"Jan. 22, 2019 91572.36"
9,"Jan. 21, 2019 91121.53"
10,"Jan. 18, 2019 91348.34"
11,"Jan. 17, 2019 91646.14"
12,"Jan. 16, 2019 92018.19"
13,"Jan. 15, 2019 91921.81"
14,"Jan. 14, 2019 91546.07"
15,"Jan. 11, 2019 90841.96"
16,"Jan. 10, 2019 91020.79"
17,"Jan. 9, 2019 90878.50"
18,"Jan. 8, 2019 90299.12"
19,"Jan. 7, 2019 90046.95"
20,"Jan. 4, 2019 89263.41"
21,"Jan. 3, 2019 90454.07"
22,"Jan. 2, 2019 89960.15"
23,"Jan. 1, 2019 89293.37"
24,"Dec. 31, 2018 89293.37"
25,"Dec. 28, 2018 89600.34"
26,"Dec. 27, 2018 89199.03"
27,"Dec. 26, 2018 88243.48"
28,"Dec. 25, 2018 88234.04"
29,"Dec. 24, 2018 88234.04"
30,"Dec. 21, 2018 88064.20"
31,"Dec. 20, 2018 88018.73"
32,"Dec. 19, 2018 88358.27"
33,"Dec. 18, 2018 88280.08"
34,"Dec. 17, 2018 88877.28"
35,"Dec. 14, 2018 88778.73"
36,"Dec. 13, 2018 89086.53"
37,"Dec. 12, 2018 89648.84"
38,"Dec. 11, 2018 89479.45"
39,"Dec. 10, 2018 88911.74"
40,"Dec. 7, 2018 87985.20"
41,"Dec. 6, 2018 88026.89"
42,"Dec. 5, 2018 87174.19"
43,"Dec. 4, 2018 87495.40"
44,"Dec. 3, 2018 86579.27"
45,"Nov. 30, 2018 84857.12"
46,"Nov. 29, 2018 85635.16"
47,"Nov. 28, 2018 85703.98"
48,"Nov. 27, 2018 86431.95"
49,"Nov. 26, 2018 86635.05"
